code_cbo2002;occupation;stem
101;Oficiais generais das forças armadas;0
102;Oficiais das forças armadas;0
103;Praças das forças armadas;0
201;Oficiais superiores da polícia militar;0
202;Capitães da  polícia militar;0
203;Tenentes da polícia militar;0
211;Subtenentes e sargentos da policia militar;0
212;Cabos e soldados da polícia militar;0
301;Oficiais superiores do corpo de bombeiros militar;0
302;Oficiais intermediários do corpo de bombeiros militar;0
303;Tenentes do corpo de bombeiros militar;0
311;Subtenentes e sargentos do corpo de bombeiros militar;0
312;Cabos e soldados do corpo de bombeiros militar;0
1111;Legisladores;0
1112;Dirigentes gerais da administração pública;0
1113;Magistrados;0
1114;Dirigentes do serviço público;0
1115;Gestores públicos;0
1130;Dirigentes de povos indígenas, de quilombolas e caiçaras;0
1141;Dirigentes de partidos políticos;0
1142;Dirigentes e administradores de entidades patronais e dos trabalhadores e de outros interesses sócioeconômicos;0
1143;Dirigentes e administradores de entidades religiosas;0
1144;Dirigentes e administradores de organizações da sociedade civil sem fins lucrativos;0
1210;Diretores gerais;0
1221;Diretores de produção e operações em empresa agropecuária, pesqueira , aqüícola e florestal;0
1222;Diretores de produção e operações em empresa da indústria extrativa, transformação e de serviços de utilidade pública;0
1223;Diretores de operações de obras em empresa de construção;1
1224;Diretores de operações em empresa do comércio;0
1225;Diretores de serviços de turismo, de alojamento e de alimentação;0
1226;Diretores de operações de serviços em empresa de armazenamento, de transporte e de telecomunicação;0
1227;Diretores de operações de serviços em instituição de intermediação financeira;0
1231;Diretores administrativos e financeiros;0
1232;Diretores de recursos humanos e relações de trabalho;0
1233;Diretores de comercialização e marketing;0
1234;Diretores de suprimentos e afins;0
1236;Diretores de tecnologia da informação;1
1237;Diretores de pesquisa e desenvolvimento;1
1238;Diretores de manutenção;0
1311;Diretores e gerentes de operações em empresa de serviços pessoais, sociais e culturais;0
1312;Gestores e especialistas de operações em empresas, secretarias e unidades de serviços de saúde;0
1313;Diretores e gerentes de instituição de serviços educacionais;0
1411;Gerentes de produção e operações em empresa agropecuária, pesqueira, aqüícola e florestal;0
1412;Gerentes de produção e operações em empresa da indústria extrativa, de transformação e de serviços de utilidade pública;0
1413;Gerentes de obras em empresa de construção;1
1414;Gerentes de operações comerciais e de assistência técnica;0
1415;Gerentes de operações de serviços em empresa de turismo, de alojamento e alimentação;0
1416;Gerentes de operações de serviços em empresa de transporte, de comunicação e de logística (armazenagem e distribuição);0
1417;Gerentes de operações de serviços em instituição de intermediação financeira;0
1418;Gerentes operacionais da aviação civil;0
1421;Gerentes administrativos, financeiros, de riscos e afins;0
1422;Gerentes de recursos humanos e de relações do trabalho;0
1423;Gerentes de comercialização, marketing e comunicação;0
1424;Gerentes de suprimentos e afins;0
1425;Gerentes de tecnologia da informação;1
1426;Gerentes de pesquisa e desenvolvimento e afins;1
1427;Gerentes de manutenção e afins;0
2011;Profissionais da biotecnologia;1
2012;Profissionais da metrologia;1
2021;Engenheiros de controle e automação, engenheiros mecatrônicos e afins;1
2030;Pesquisadores das ciências biológicas;1
2031;Pesquisadores das ciências naturais e exatas;1
2032;Pesquisadores de engenharia e tecnologia;1
2033;Pesquisadores das ciências da saúde;1
2034;Pesquisadores das ciências da agricultura;1
2035;Pesquisadores das ciências sociais e humanas;0
2041;Peritos criminais;0
2111;Profissionais da matemática;1
2112;Profissionais de estatística;1
2122;Engenheiros em computação;1
2123;Administradores de tecnologia da informação;1
2124;Analistas de tecnologia da informação;1
2131;Físicos;1
2132;Químicos;1
2133;Profissionais das ciências atmosféricas e espaciais e de astronomia;1
2134;Geólogos, oceanógrafos, geofísicos e afins;1
2140;Engenheiros ambientais e afins;1
2141;Arquitetos e urbanistas;0
2142;Engenheiros civis e afins;1
2143;Engenheiros eletricistas, eletrônicos e afins;1
2144;Engenheiros mecânicos e afins;1
2145;Engenheiros químicos e afins;1
2146;Engenheiros metalurgistas, de materiais e afins;1
2147;Engenheiros de minas e afins;1
2148;Engenheiros agrimensores e engenheiros cartógrafos;1
2149;Engenheiros de produção, qualidade, segurança e afins;1
2151;Oficiais de convés e afins;0
2152;Oficiais de máquinas da marinha mercante;0
2153;Profissionais da pilotagem aeronáutica;0
2211;Biólogos e afins;1
2212;Biomédicos;1
2221;Engenheiros agrossilvipecuários;1
2222;Engenheiros de alimentos e afins;1
2232;Cirurgiões-dentistas;0
2233;Veterinários e zootecnistas;0
2234;Farmacêuticos;0
2235;Enfermeiros e afins;0
2236;Fisioterapeutas;0
2237;Nutricionistas;0
2238;Fonoaudiólogos;0
2239;Terapeutas ocupacionais, ortoptistas e psicomotricistas;0
2241;Profissionais da educação física;0
2251;Médicos clínicos;0
2252;Médicos em especialidades cirúrgicas;0
2253;Médicos em medicina diagnóstica e terapêutica;0
2261;Osteopatas e quiropraxistas;0
2263;Profissionais das terapias criativas,equoterápicas e naturológicas;0
2311;Professores de nível superior na educação infantil;0
2312;Professores de nível superior do ensino fundamental (primeira a quarta séries);0
2313;Professores de nível superior no ensino fundamental de quinta a oitava série;0
2321;Professores do ensino médio;0
2331;Professores do ensino profissional;0
2332;Instrutores de ensino profissional;0
2341;Professores de matemática, estatística e informática do ensino superior;1
2342;Professores de ciências físicas, químicas e afins do ensino superior;1
2343;Professores de arquitetura e urbanismo, engenharia, geofísica e geologia do ensino superior;1
2344;Professores de ciências biológicas e da saúde do ensino superior;1
2345;Professores na área de formação pedagógica do ensino superior;0
2346;Professores nas áreas de língua e literatura do ensino superior;0
2347;Professores de ciências humanas do ensino superior;0
2348;Professores de ciências econômicas, administrativas e contábeis do ensino superior;0
2349;Professores de artes do ensino superior;0
2392;Professores de educação especial;0
2394;Programadores, avaliadores e orientadores de ensino;0
2410;Advogados;0
2412;Procuradores e advogados públicos;0
2413;Tabeliães e registradores;0
2422;Membros do ministério público;0
2423;Delegados de polícia;0
2424;Defensores públicos e procuradores da assistência judiciária;0
2429;Profissionais da inteligência;0
2511;Profissionais em pesquisa e análise antropológica sociológica;0
2512;Economistas;0
2513;Profissionais em pesquisa e análise geográfica;1
2514;Filósofos;0
2515;Psicólogos e psicanalistas;0
2516;Assistentes sociais e economistas domésticos;0
2521;Administradores;0
2522;Contadores e afins;0
2523;Secretárias(os) executivas(os) e afins;0
2524;Profissionais de recursos humanos;0
2525;Profissionais de administração ecônomico-financeira;0
2526;Profissionais da administração dos serviços de segurança;0
2527;Profissionais de planejamento, programação e controles logisticos;0
2531;Profissionais de publicidade;0
2532;Profissionais de comercializacão e consultoria de serviços bancários;0
2533;Corretores de valores, ativos financeiros, mercadorias e derivativos;0
2541;Auditores fiscais e técnicos da receita federal;0
2542;Auditores fiscais da previdência social;0
2543;Auditores fiscais do trabalho;0
2544;Fiscais de tributos estaduais e municipais;0
2545;Profissionais da fiscalização de atividades urbanas;0
2611;Profissionais do jornalismo;0
2612;Profissionais da informação;0
2613;Arquivistas e museólogos;0
2614;Filólogos,tradutores ,intérpretes e afins;0
2615;Profissionais da escrita;0
2616;Editores;0
2617;Locutores, comentaristas e repórteres de mídias audiovisuais;0
2618;Fotógrafos profissionais;0
2619;Assistentes de direção (tv) e continuístas;0
2621;Produtores artísticos e culturais;0
2622;Diretores de espetáculos e afins;0
2623;Cenógrafos;0
2624;Artistas visuais,desenhistas industriais e conservadores-restauradores de bens culturais;0
2625;Atores;0
2626;Músicos compositores, arranjadores, regentes e musicólogos;0
2627;Músicos intérpretes;0
2628;Artistas da dança (exceto dança tradicional e popular);0
2629;Designer de interiores de nível superior;0
2631;Ministros de culto, missionários, teólogos e profissionais assemelhados;0
2711;Chefes de cozinha e afins;0
3001;Técnicos em mecatrônica;1
3003;Técnicos em eletromecânica;1
3011;Técnicos de laboratório industrial;1
