degree_group;degree_code;name_port;stem;;;;;;
Computer and Math;345G03;Gestão da informação;1;;;;;;
Computer and Math;345G27;Gestão de recursos de informática;1;;;;;;
Computer and Math;461M01;Matemática;1;;;;;;
Computer and Math;461M02;Matemática aplicada;1;;;;;;
Computer and Math;462C01;Ciência atuarial;1;;;;;;
Computer and Math;462E01;Estatástica;1;;;;;;
Computer and Math;481A01;Administrção de redes;1;;;;;;
Computer and Math;481B01;Banco de dados;1;;;;;;
Computer and Math;481C01;Ciência da computação;1;;;;;;
Computer and Math;481C02;Computação gráfica;1;;;;;;
Computer and Math;481I01;Informática (ciência da computação);1;;;;;;
Computer and Math;481T01;Tecnologia da informação;1;;;;;;
Computer and Math;481T02;Tecnologia em desenvolvimento de softwares;1;;;;;;
Computer and Math;481T03;Tecnologia em informática;1;;;;;;
Computer and Math;482U01;Uso da internet;1;;;;;;
Computer and Math;483A01;Análise de sistemas;1;;;;;;
Computer and Math;483A02;Análise e Desenvolvimento de Sistemas (Tecnólogo);1;;;;;;
Computer and Math;483P02;Programação de computadores;1;;;;;;
Computer and Math;483S01;Segurança da informação;1;;;;;;
Computer and Math;483S02;Sistemas de informação;1;;;;;;
Computer and Math;523E04;Engenharia de computação;1;;;;;;
Engineering and Related;422S01;Saneamento ambiental;1;;;;;;
Engineering and Related;520A01;Automação industrial;1;;;;;;
Engineering and Related;520E01;Engenharia;1;;;;;;
Engineering and Related;520E02;Engenharia ambiental;1;;;;;;
Engineering and Related;520E04;Engenharia de materiais;1;;;;;;
Engineering and Related;520E05;Engenharia de produção;1;;;;;;
Engineering and Related;520E06;Engenharia industrial;1;;;;;;
Engineering and Related;520E07;Engenharia física;1;;;;;;
Engineering and Related;520E08;Engenharia Biomédica;1;;;;;;
Engineering and Related;520E09;Engenharia ambiental e sanitária;1;;;;;;
Engineering and Related;520M01;Manutenção industrial;1;;;;;;
Engineering and Related;520P02;Produção industrial;1;;;;;;
